date,up_count,down_count,flat_count,valid_count,universe_total,coverage_ratio,breadth_net_ratio,up_ratio,down_ratio,breadth_log_ad_ratio,open_0050,close_0050,ret_c0_o1,ret_c0_c1,ret_o1_c1,ret_o1_o2,ret_o1_c2,ret_o1_c3,ret_o1_c5,ret_o1_c10,year,month
2017-09-11,627,756,125,1508,1974,0.7639311043566362,-0.09327548806941431,0.45336225596529284,0.5466377440347071,-0.18695886222247163,124.65813074072356,123.60995426602678,0.0048455481526348265,0.00363416111447612,-0.0012055455093430423,-0.0006027727546713546,-0.007836045810729386,-0.007233273056057921,0.0024110910186860846,-0.024110910186859513,2017,9
2017-09-12,684,648,171,1503,1974,0.7613981762917933,0.02702702702702703,0.5135135135135135,0.4864864864864865,0.05402664097200504,124.2089122515678,124.05917275518253,0.0006035003017503815,-0.006638503319251532,-0.007237635705669598,-0.007237635705669598,-0.00663449939686378,-0.00663449939686378,-0.001809408926417455,-0.03136308805790122,2017,9
2017-09-13,565,771,172,1508,1974,0.7639311043566362,-0.15419161676646706,0.42290419161676646,0.5770958083832335,-0.3106263762470403,124.13404250337518,123.23560552506365,0.0,0.0006075334143378353,0.0006075334143378353,0.0006075334143378353,0.0006075334143378353,0.010328068043742533,-0.0012150668286755595,-0.019441069258809174,2017,9
2017-09-14,746,549,206,1501,1974,0.7603850050658562,0.15212355212355214,0.5760617760617761,0.42393822393822395,0.3063868431355691,123.23560552506365,123.31047527325627,0.0,0.0,0.0,0.006071645415907545,0.009714632665452472,0.004857316332726125,0.004250151791135526,-0.023679417122040025,2017,9
2017-09-15,599,736,162,1497,1974,0.7583586626139818,-0.10262172284644194,0.448689138576779,0.5513108614232209,-0.20581326143511602,123.31047527325627,123.31047527325627,0.006071645415907545,0.009714632665452472,0.0036210018105011788,0.004224502112251116,-0.0012070006035002079,-0.00784550392275185,-0.015087507543753653,-0.02655401327700646,2017,9
2017-09-18,639,703,156,1498,1974,0.7588652482269503,-0.04769001490312966,0.4761549925484352,0.5238450074515648,-0.09538125553554637,124.05917275518253,124.50839124433831,0.000601322910402935,-0.0048105832832231465,-0.005408653846153855,-0.008413461538461675,-0.012019230769230838,-0.006009615384615419,-0.027043269230769273,-0.024038461538461564,2017,9
2017-09-19,428,888,183,1499,1974,0.7593718338399189,-0.3495440729483283,0.3252279635258359,0.6747720364741642,-0.7292439095568716,124.58326099253094,123.90943325879729,-0.0030211480362538623,-0.006646525679758319,-0.0036363636363635488,-0.00545454545454549,0.00242424242424244,-0.010909090909090868,-0.026666666666666616,-0.012121212121212088,2017,9
2017-09-20,424,919,158,1501,1974,0.7603850050658562,-0.3685778108711839,0.31571109456440805,0.684288905435592,-0.7729180382929738,123.53508451783415,123.0858660286784,-0.0018248175182482562,0.006082725060827299,0.007921998781231121,0.006703229737964778,-0.005484460694698323,-0.013406459475929222,-0.01645338208409497,-0.006703229737964556,2017,9
2017-09-21,895,389,212,1496,1974,0.7578520770010132,0.3940809968847352,0.6970404984423676,0.3029595015576324,0.8325183561899635,122.8612567841005,123.83456351060467,-0.0012091898428053804,-0.013301088270858519,-0.012106537530266248,-0.012711864406779627,-0.019975786924939398,-0.02784503631961255,-0.02663438256658579,-0.009079903147699797,2017,9
2017-09-22,267,1099,127,1493,1974,0.7563323201621074,-0.6090775988286969,0.19546120058565153,0.8045387994143485,-1.4134912436587546,123.6848240142194,122.18742905036687,-0.0006127450980392135,-0.007965686274509776,-0.0073574494175352445,-0.009196811771919,-0.015328019619865185,-0.010423053341508282,-0.011036174126302867,0.006744328632740659,2017,9
2017-09-25,239,1162,93,1494,1974,0.756838905775076,-0.6588151320485368,0.17059243397573162,0.8294075660242684,-1.5797747206105415,122.11255930217425,121.21412232386272,-0.0018529956763434496,-0.008029647930821504,-0.006188118811881194,-0.0024752475247525885,-0.0012376237623762387,-0.004950495049504844,0.004950495049504955,0.03217821782178221,2017,9
